18.5	TARGET-0009	OCR-00095	0.5	VS
18.5	TARGET-0009	OCR-00096	0.3	肉容型
18.5	TARGET-0009	OCR-00097	0.5	博王
18.5	TARGET-0009	OCR-00098	0.3	4192能3
18.5	TARGET-0009	OCR-00099	0.3	斜鹂豵
18.5	TARGET-0009	OCR-00100	0.3	延 装b祝疑V
18.5	TARGET-0009	OCR-00101	0.5	什么祥的人可必成沩IP型博主呢
18.5	TARGET-0009	OCR-00102	0.3	千货
25	TARGET-0010	OCR-00103	0.3	小红书
25	TARGET-0010	OCR-00104	0.5	人类最强編导
25	TARGET-0010	OCR-00105	0.3	不要妄想用間宰的初是
25	TARGET-0010	OCR-00106	0.3	⅓.頒辣情白溶
25	TARGET-0010	OCR-00107	0.3	2.人百能打的
25	TARGET-0010	OCR-00108	0.3	T，型vsA容E
25	TARGET-0010	OCR-00109	0.3	博王
25	TARGET-0010	OCR-00110	0.3	3. FA1PEracks
25	TARGET-0010	OCR-00111	0.3	飲飯有
25	TARGET-0010	OCR-00112	0.3	4AZ能角
25	TARGET-0010	OCR-00113	0.3	今kcc物的取出履的报店，数近三
25	TARGET-0010	OCR-00114	0.3	装b祝频
25	TARGET-0010	OCR-00115	0.3	国片課如往奇被
25	TARGET-0010	OCR-00116	0.3	和那些有热度的
30	TARGET-0011	OCR-00117	0.3	小红书
30	TARGET-0011	OCR-00118	0.5	人类最强編导
30	TARGET-0011	OCR-00119	0.3	不要妄想用間早的的法森
30	TARGET-0011	OCR-00120	0.3	不.人百能打获
30	TARGET-0011	OCR-00121	0.3	肉容性
30	TARGET-0011	OCR-00122	0.3	3. 千人1P张
30	TARGET-0011	OCR-00123	0.3	4PZ能溺
30	TARGET-0011	OCR-00124	0.3	公有物/身出履的报店，数握？
30	TARGET-0011	OCR-00125	0.3	你品的
30	TARGET-0011	OCR-00126	0.3	周片张加
30	TARGET-0011	OCR-00127	0.3	芘如说手势舞啊
35	TARGET-0012	OCR-00128	0.3	小红书
35	TARGET-0012	OCR-00129	0.5	人类最强编导
35	TARGET-0012	OCR-00130	0.3	不要妄想用简早的
35	TARGET-0012	OCR-00131	0.3	1.維辣性合路
35	TARGET-0012	OCR-00132	0.3	2.人及能打
35	TARGET-0012	OCR-00133	0.3	1P型
35	TARGET-0012	OCR-00134	0.5	VS
35	TARGET-0012	OCR-00135	0.3	肉容
35	TARGET-0012	OCR-00136	0.3	博王
35	TARGET-0012	OCR-00137	0.3	3.千41P医传涨
35	TARGET-0012	OCR-00138	0.3	4126$3
35	TARGET-0012	OCR-00139	0.3	公has分/身以履的极店，数据）达洲了鱼
35	TARGET-0012	OCR-00140	0.3	作品的目的
35	TARGET-0012	OCR-00141	0.3	热 装b祝疑Vly
35	TARGET-0012	OCR-00142	0.3	同1片來加信并被频少。
35	TARGET-0012	OCR-00143	0.3	双开货
35	TARGET-0012	OCR-00144	0.5	他们拍一个手势舞有几十万点赞
40	TARGET-0013	OCR-00145	0.3	小红书
40	TARGET-0013	OCR-00146	0.5	人类最强編导
40	TARGET-0013	OCR-00147	0.3	不呀妄想用简早的的法我
40	TARGET-0013	OCR-00148	0.3	1P型VS博
40	TARGET-0013	OCR-00149	0.3	2.人合能场
40	TARGET-0013	OCR-00150	0.3	內容型
40	TARGET-0013	OCR-00151	0.3	3. TA1Pr
40	TARGET-0013	OCR-00152	0.3	公众a物/取出履的极店，如址遊加
40	TARGET-0013	OCR-00153	0.3	竹品的目的
40	TARGET-0013	OCR-00154	0.3	同片辣如結奇視頻！
40	TARGET-0013	OCR-00155	0.3	双开货
40	TARGET-0013	OCR-00156	0.3	就是菌 这些短平快内容
45	TARGET-0014	OCR-00157	0.3	小紅书
45	TARGET-0014	OCR-00158	0.5	人类最强绵导
45	TARGET-0014	OCR-00159	0.3	不要妄想用简宰的方法获得浪
45	TARGET-0014	OCR-00160	0.3	人維辣植合送
45	TARGET-0014	OCR-00161	0.3	1型v5燉
45	TARGET-0014	OCR-00162	0.3	2.人 打的
45	TARGET-0014	OCR-00163	0.3	內容型
45	TARGET-0014	OCR-00164	0.3	3.9人10第付效
45	TARGET-0014	OCR-00165	0.3	台所有
45	TARGET-0014	OCR-00166	0.3	能打的菜L
45	TARGET-0014	OCR-00167	0.3	f货
45	TARGET-0014	OCR-00168	0.5	他们的广告报价
48.5	TARGET-0015	OCR-00169	0.3	小红书
48.5	TARGET-0015	OCR-00170	0.5	人类最强編导
48.5	TARGET-0015	OCR-00171	0.3	不要妄想用简早的方法获得流量
48.5	TARGET-0015	OCR-00172	0.3	KTIP汤化
48.5	TARGET-0015	OCR-00173	0.3	不人婚能打的
48.5	TARGET-0015	OCR-00174	0.3	P型
48.5	TARGET-0015	OCR-00175	0.3	内容型
48.5	TARGET-0015	OCR-00176	0.5	VS
48.5	TARGET-0015	OCR-00177	0.3	博
48.5	TARGET-0015	OCR-00178	0.3	后期月，甜摄
48.5	TARGET-0015	OCR-00179	0.3	3.千41P 性效
48.5	TARGET-0015	OCR-00180	0.3	3.剑有糖
48.5	TARGET-0015	OCR-00181	0.3	4/92$3
48.5	TARGET-0015	OCR-00182	0.3	适合素/晋
48.5	TARGET-0015	OCR-00183	0.5	作品的目的
48.5	TARGET-0015	OCR-00184	0.3	周怡.5.
48.5	TARGET-0015	OCR-00185	0.3	感 装 祝凝 VLDG
48.5	TARGET-0015	OCR-00186	0.3	于货
48.5	TARGET-0015	OCR-00187	0.3	就是肉容型博主
48.5	TARGET-0015	OCR-00188	0.3	衙片
50	TARGET-0016	OCR-00189	0.3	小红书
50	TARGET-0016	OCR-00190	0.5	人类最强編导
50	TARGET-0016	OCR-00191	0.3	不要喜想用何？的方法获得流
50	TARGET-0016	OCR-00192	0.3	19型v燉
50	TARGET-0016	OCR-00193	0.3	K饮IP發
50	TARGET-0016	OCR-00194	0.3	不.人及能打的
50	TARGET-0016	OCR-00195	0.3	2-重等机送
50	TARGET-0016	OCR-00196	0.3	3.941Pr
50	TARGET-0016	OCR-00197	0.3	這合
50	TARGET-0016	OCR-00198	0.3	今众人物的/身以5應的报店。数据）逃如）鱼化圓性。
50	TARGET-0016	OCR-00199	0.3	作品的目的
50	TARGET-0016	OCR-00200	0.3	能aJ的茶
50	TARGET-0016	OCR-00201	0.3	蒸点装疑VLDG福容
50	TARGET-0016	OCR-00202	0.3	周片张如保奇被頻 物
50	TARGET-0016	OCR-00203	0.3	f货
50	TARGET-0016	OCR-00204	0.3	插片
55	TARGET-0017	OCR-00205	0.3	小红书
55	TARGET-0017	OCR-00206	0.5	人类最强編导
55	TARGET-0017	OCR-00207	0.3	不要妄想用简早的方法获得充量
55	TARGET-0017	OCR-00208	0.3	K IP 化
55	TARGET-0017	OCR-00209	0.3	2.人冷前打
55	TARGET-0017	OCR-00210	0.3	1P型
55	TARGET-0017	OCR-00211	0.5	VS
55	TARGET-0017	OCR-00212	0.3	內容型
55	TARGET-0017	OCR-00213	0.3	博王
55	TARGET-0017	OCR-00214	0.3	粉期.10摄
55	TARGET-0017	OCR-00215	0.3	3.T41Pr
55	TARGET-0017	OCR-00216	0.3	5A-56
55	TARGET-0017	OCR-00217	0.3	3.创
55	TARGET-0017	OCR-00218	0.3	道合素！
55	TARGET-0017	OCR-00219	0.3	公众25/身以履的相店，好据）.还加只宜是么團性.5差运
55	TARGET-0017	OCR-00220	0.5	作品的目的
55	TARGET-0017	OCR-00221	0.3	熟产装b祝凝 VLDG偶茶
55	TARGET-0017	OCR-00222	0.3	国片课扣信奇视续B物 日指
55	TARGET-0017	OCR-00223	0.3	开货
55	TARGET-0017	OCR-00224	0.3	他们个人P较弱化
55	TARGET-0017	OCR-00225	0.3	紅片
59	TARGET-0018	OCR-00226	0.3	小红书
59	TARGET-0018	OCR-00227	0.5	人类最强編导
59	TARGET-0018	OCR-00228	0.5	不要妄想用简单的方法获得流量
59	TARGET-0018	OCR-00229	0.3	1.短辣搓卢旁
59	TARGET-0018	OCR-00230	0.3	1P型
59	TARGET-0018	OCR-00231	0.3	HTKIP多化
59	TARGET-0018	OCR-00232	0.3	2.人及能打的
59	TARGET-0018	OCR-00233	0.3	內容型
59	TARGET-0018	OCR-00234	0.3	oMe-T豆3
59	TARGET-0018	OCR-00235	0.5	VS
59	TARGET-0018	OCR-00236	0.3	2.-童等机送题
59	TARGET-0018	OCR-00237	0.3	博王
59	TARGET-0018	OCR-00238	0.3	尼期月，1日枝
59	TARGET-0018	OCR-00239	0.3	3剑维成輻。
59	TARGET-0018	OCR-00240	0.3	這合素/、普通人
59	TARGET-0018	OCR-00241	0.3	今众人物/身5展石报店，的据）还加只宜是么圈物.5差运
59	TARGET-0018	OCR-00242	0.5	作品的目的
59	TARGET-0018	OCR-00243	0.3	达点，装L湘疑 VLDG-城蓉
59	TARGET-0018	OCR-00244	0.5	并且他们的创作成本极高
59	TARGET-0018	OCR-00245	0.3	双点
59	TARGET-0018	OCR-00246	0.3	千货
62.5	TARGET-0019	OCR-00247	0.3	小红书
62.5	TARGET-0019	OCR-00248	1	人类最强编导
62.5	TARGET-0019	OCR-00249	0.3	不要妄想用简早
62.5	TARGET-0019	OCR-00250	0.3	4191365-$
62.5	TARGET-0019	OCR-00251	0.3	你kasm/身5履的极店，数据）达和了通是的
62.5	TARGET-0019	OCR-00252	0.3	作品的目的
62.5	TARGET-0019	OCR-00253	0.3	这点裝上神疑VLOG偶
62.5	TARGET-0019	OCR-00254	0.3	国片张力保奇祝
62.5	TARGET-0019	OCR-00255	0.3	f货
62.5	TARGET-0019	OCR-00256	0.3	普通只能做肉容型媽主
65	TARGET-0020	OCR-00257	0.3	小紅节
65	TARGET-0020	OCR-00258	0.5	人类最强编导
65	TARGET-0020	OCR-00259	0.3	不要妄想用简单的方法获得影流
65	TARGET-0020	OCR-00260	0.3	2.人公前打取
65	TARGET-0020	OCR-00261	0.3	［P型
65	TARGET-0020	OCR-00262	0.3	VS
65	TARGET-0020	OCR-00263	0.3	内容型，
65	TARGET-0020	OCR-00264	0.3	博王
65	TARGET-0020	OCR-00265	0.3	3.千KiPr张k
65	TARGET-0020	OCR-00266	0.3	41343
65	TARGET-0020	OCR-00267	0.3	Ahart/身5腐
65	TARGET-0020	OCR-00268	0.3	作品的目的
65	TARGET-0020	OCR-00269	0.3	数据？还好了回是么！
65	TARGET-0020	OCR-00270	0.5	我告诉你这些不是分了激化矛盾
68	TARGET-0021	OCR-00271	0.3	小书
68	TARGET-0021	OCR-00272	1	人类最强编导
68	TARGET-0021	OCR-00273	0.3	不要妄想用間早的
68	TARGET-0021	OCR-00274	0.3	6糖频性卢溶
68	TARGET-0021	OCR-00275	0.3	2.人台麻奶的
68	TARGET-0021	OCR-00276	0.3	IR型
68	TARGET-0021	OCR-00277	0.5	VS
68	TARGET-0021	OCR-00278	0.3	博王
68	TARGET-0021	OCR-00279	0.3	3. T41P r效
68	TARGET-0021	OCR-00280	0.3	邰所石
68	TARGET-0021	OCR-00281	0.3	這合素，
68	TARGET-0021	OCR-00282	0.3	作品的見的
68	TARGET-0021	OCR-00283	0.3	这瓜製祝烫VL0GT
68	TARGET-0021	OCR-00284	0.3	同l片张力信奇視频
68	TARGET-0021	OCR-00285	0.3	%；涠穴需求
68	TARGET-0021	OCR-00286	0.3	稻片
72.5	TARGET-0022	OCR-00287	0.3	小紅书
72.5	TARGET-0022	OCR-00288	0.5	人类最强編导
72.5	TARGET-0022	OCR-00289	0.3	不要妄想用简早的的法获得
72.5	TARGET-0022	OCR-00290	0.3	人短叛佳卢旁
72.5	TARGET-0022	OCR-00291	0.3	2.人冷能打奶
72.5	TARGET-0022	OCR-00292	0.3	T型vs
72.5	TARGET-0022	OCR-00293	0.3	內容型
72.5	TARGET-0022	OCR-00294	0.3	博王
72.5	TARGET-0022	OCR-00295	0.3	‘3.个人1P属仕张
72.5	TARGET-0022	OCR-00296	0.3	公hct/身只雇加极，
72.5	TARGET-0022	OCR-00297	0.3	‘縈追是其实呢
77.5	TARGET-0023	OCR-00298	0.3	小红书
77.5	TARGET-0023	OCR-00299	0.5	人类最强編导
77.5	TARGET-0023	OCR-00300	0.3	不要妄想用简穿
77.5	TARGET-0023	OCR-00301	0.3	获得流
77.5	TARGET-0023	OCR-00302	0.3	人征辣佳卢路
77.5	TARGET-0023	OCR-00303	0.3	2.人冷前打取
77.5	TARGET-0023	OCR-00304	0.3	3千IP属台张
77.5	TARGET-0023	OCR-00305	0.3	今众z5/身以履的相店，對据入还加人虛
77.5	TARGET-0023	OCR-00306	0.3	作品血見的
77.5	TARGET-0023	OCR-00307	0.3	熟為装b祝燥 VL0G
77.5	TARGET-0023	OCR-00308	0.5	f货
77.5	TARGET-0023	OCR-00309	0.3	数据涨粉和变现
79.5	TARGET-0024	OCR-00310	0.3	小红书
79.5	TARGET-0024	OCR-00311	0.5	人类最强编导
79.5	TARGET-0024	OCR-00312	0.3	不要妄想用简事
79.5	TARGET-0024	OCR-00313	0.3	1短叛性卢路
79.5	TARGET-0024	OCR-00314	0.3	1型v5博
79.5	TARGET-0024	OCR-00315	0.3	7.人台麻奶的
79.5	TARGET-0024	OCR-00316	0.3	3.TA1Pr张
79.5	TARGET-0024	OCR-00317	0.3	作品鱼目段
79.5	TARGET-0024	OCR-00318	0.3	能打6味
79.5	TARGET-0024	OCR-00319	0.3	周片张如保奇视烫 物
79.5	TARGET-0024	OCR-00320	0.3	双开
79.5	TARGET-0024	OCR-00321	0.3	業去完成的
79.5	TARGET-0024	OCR-00322	0.3	綰片
82	TARGET-0025	OCR-00323	0.3	小紅书
82	TARGET-0025	OCR-00324	0.5	人类最强編导
82	TARGET-0025	OCR-00325	0.3	不要妄想用简軍的方法获得
82	TARGET-0025	OCR-00326	0.3	《糖鞍性卢溶
82	TARGET-0025	OCR-00327	0.3	2.人冷能打的
82	TARGET-0025	OCR-00328	0.3	T型vs.
82	TARGET-0025	OCR-00329	0.3	門容型
82	TARGET-0025	OCR-00330	0.5	博王
82	TARGET-0025	OCR-00331	0.3	3.TA1Pr
82	TARGET-0025	OCR-00332	0.3	台所有
82	TARGET-0025	OCR-00333	0.3	介ham/取5履的极店，数作）.逃加了回.
82	TARGET-0025	OCR-00334	0.3	作品血見的
82	TARGET-0025	OCR-00335	0.3	y了-
82	TARGET-0025	OCR-00336	0.3	縈=种是数据
87.5	TARGET-0026	OCR-00337	0.3	小红书
87.5	TARGET-0026	OCR-00338	0.5	人类最强編导
87.5	TARGET-0026	OCR-00339	0.3	不要妄想用简早的的
87.5	TARGET-0026	OCR-00340	0.3	1.糖辣佳卢路
87.5	TARGET-0026	OCR-00341	0.3	货隊了
87.5	TARGET-0026	OCR-00342	0.3	2.人冷能打
87.5	TARGET-0026	OCR-00343	0.3	3. TAiPhra
87.5	TARGET-0026	OCR-00344	0.3	公 物/取出庭的报店，数
87.5	TARGET-0026	OCR-00345	0.3	作品血
87.5	TARGET-0026	OCR-00346	0.3	能頂
87.5	TARGET-0026	OCR-00347	0.5	或者说在穴告商那边提高报价
92.5	TARGET-0027	OCR-00348	0.3	小紅书
